light,label
1.9010,anomaly
1.8873,anomaly
1.8890,anomaly
1.8954,anomaly
1.9067,anomaly
1.9099,anomaly
1.9147,anomaly
1.9115,anomaly
1.9059,anomaly
1.8938,anomaly
1.8793,anomaly
1.8688,anomaly
1.8559,anomaly
1.8567,anomaly
1.8624,anomaly
1.8648,anomaly
1.8688,anomaly
1.8801,anomaly
1.9010,anomaly
